Document,Tag,Content
Kosovo,truth/facts,"Media MUST THE create practice THE CLEAR THE identification THE ResouRCes AND CLEARANCE THE facts before publication THE news , with focus THE SPECIAL IN source identification THE FrONt THE information ."
Kosovo,truth/facts,"Print media MUST THE verify INFORMATION ahead publication , so THAT THE ensures that the information IS The really , of BASED IN facts AND The reliable"
Kosovo,accuracy,Encouraged THAT information The such THE not published UP IN verification .
Kosovo,distortion/manipulation,"Media MUST THE HAVE caution IN verification of all SPECIES THE lamas THE fake , of displayed IN Deepfake form or forms of other THE Pages THE advanced , of created with the help of intelligence artificial ."
Kosovo,privacy,"When using intelligence artificial , media MUST THE respect protection principles OF THE THE DATA personal , security OF THE INFoRmATIoN AND non-discrimination ."
Kosovo,discrimination/stereotypes,"When using intelligence artificial , media MUST THE respect protection principles OF THE THE DATA personal , security OF THE INFoRmATIoN AND non-discrimination ."
Kosovo,transparency,"Media ARE THE Mandatory TO inform readers IN ORDER THE Adequate ABOUT use of intelligence artificial IN content creation medial , with the note that in which segment and what Business The intelligence artificial IS USING AND HOW it works ."
Kosovo,discrimination/stereotypes,"The print media will RELATED everything IN their power to THE not to encourage or nourish resentment AND inequality , in writings , opinions or comments"
Kosovo,privacy,"The print media will be avoid INTERFERENCE AND Researches IN private life A the individual , except IN CASES when such interventions or research are THE NEEDED ABOUT reason THE INTEREST public ."
Kosovo,objectivity,"Conflict The INTEREST bear BY A SITUATIONS IN THE which one journalist , editor or media in the whole is of interest private , that affects , can THE affect OR it seems to affect IN impartial performance AND objectivity THE duty ."
Latvia,verification,The main task of a journalist is to provide society with true and verified information.
Latvia,truth/facts,The main task of a journalist is to provide society with true and verified information.
Latvia,distortion/manipulation,"The facts should be set forth objectively and clearly, stressing major links and with no misrepresentations."
Latvia,objectivity,"The facts should be set forth objectively and clearly, stressing major links and with no misrepresentations."
Latvia,source/disclosure,A journalist should be critical in the choice of sources. The information should be checked and statements quoted should be verified.
Latvia,verification,A journalist should be critical in the choice of sources. The information should be checked and statements quoted should be verified.
Latvia,privacy,"In his writings, a journalist must always respect a person's private life, nationality, race and religion"
Latvia,distortion/manipulation,"Special attention should be paid to using pictures out of their original context. Manipulation is inadmissible, as it generates wrong ideas."
Latvia,graphics/visualisation,"Special attention should be paid to using pictures out of their original context. Manipulation is inadmissible, as it generates wrong ideas."
Lithuania,fairness,"understanding that the basis for such trust is independence, fairness, impartiality and professionality;"
Lithuania,truth/facts,must publish accurate and correct news
Lithuania,accuracy,must publish accurate and correct news
Lithuania,truth/facts,"Journalists, producers and the communicators of public information must ensure that an opinion is expressed honestly and ethically, without deliberately distorting the facts or data."
Lithuania,distortion/manipulation,"Journalists, producers and the communicators of public information must ensure that an opinion is expressed honestly and ethically, without deliberately distorting the facts or data."
Lithuania,data,"Journalists, producers and the communicators of public information must ensure that an opinion is expressed honestly and ethically, without deliberately distorting the facts or data."
Lithuania,verification,"Journalists, producers and the communicators of public information must assess their information sources critically, check the facts attentively and carefully, and also use at least two sources."
Lithuania,source/reliability,"Journalists, producers and the communicators of public information must assess their information sources critically, check the facts attentively and carefully, and also use at least two sources."
Lithuania,source/disclosure,"Journalists, producers and the communicators of public information must assess their information sources critically, check the facts attentively and carefully, and also use at least two sources."
Lithuania,distortion/manipulation,"Journalists, producers and the communicators of public information must make sure that the headlines, trailer material, photos, graphics, audios and videos and the quotes published do not distort the work or mislead the user of the information."
Lithuania,graphics/visualisation,"Journalists, producers and the communicators of public information must make sure that the headlines, trailer material, photos, graphics, audios and videos and the quotes published do not distort the work or mislead the user of the information."
Lithuania,truth/facts,"the inaccurate facts must be corrected and wrong facts must be denied immediately in an adequate location of the same mass media, without any further comments."
Lithuania,privacy,"they must prioritise the protection of a private life when providing information about a private person, while public interest is the priority in the case of a public person."
Lithuania,transparency,"INDEPENDENCE AND TRANSPARENCY OF THE ACTIVITIES OF JOURNALISTS, PRODUCERS AND THE COMMUNICATORS OF PUBLIC INFORMATION"
Lithuania,objectivity,"Journalists, producers and the communicators of public information who prepare any information on companies and organisations must disclose their connections with them, and the circumstances which, if concealed, could reduce the objectivity of the information provided."
Lithuania,data,must not publish the personal data of a minor person
Lithuania,privacy,must not publish the personal data of a minor person
Lithuania,ugc,"Journalists, producers and the communicators of public information must always state the source of the information when using a citizen's personal video, as well as when using the audio or text information found in social networks."
Lithuania,distortion/manipulation,"Journalists, producers and the communicators of public information must not publish artificially deformed audio and video montages, photographs, or signatures on photographs which may distort the public impression or facts."
Lithuania,source/reliability,"When using the Internet and other information sources, the journalists, producers and communicators of public information must check the reliability of the sources and refer to them properly."
Lithuania,source/disclosure,"When using the Internet and other information sources, the journalists, producers and communicators of public information must check the reliability of the sources and refer to them properly."
Lithuania,access/use,"If the journalists and producers of public information offer the same copyright work to several producers and/or communicators of public information, they must warn the related parties about this."
Luxembourg,truth/facts,From the accuracy and truthfulness
Luxembourg,accuracy,From the accuracy and truthfulness
Luxembourg,accuracy,The press is committed to the utmost rigor in the search for information and to verify the truth. In case of doubt on the veracity of the facts or information that the public has a predominant interest in knowing the press to present day with reserves necessary.
Luxembourg,verification,The press is committed to the utmost rigor in the search for information and to verify the truth. In case of doubt on the veracity of the facts or information that the public has a predominant interest in knowing the press to present day with reserves necessary.
Luxembourg,truth/facts,The press is committed to the utmost rigor in the search for information and to verify the truth. In case of doubt on the veracity of the facts or information that the public has a predominant interest in knowing the press to present day with reserves necessary.
Luxembourg,data,"Press is committed to respecting copyright as defined in the amended Act of 18 April 2001 on copyright, neighboring rights and databases"
Luxembourg,access/use,"Press is committed to respecting copyright as defined in the amended Act of 18 April 2001 on copyright, neighboring rights and databases"
Luxembourg,access/use,"Journalists and editors are committed to avoid work anonymously or any use of other illegal and reprehensible methods to obtain information, sounds, images or documents."
Luxembourg,distortion/manipulation,"The image (photo, graphics, film footage, ?) should not distort reality. The pictures were not taken in the direct context of the event are scoring clearly visible as illustration or image respectively archives. The photomontages are visibly marked as such."
Luxembourg,graphics/visualisation,"The image (photo, graphics, film footage, ?) should not distort reality. The pictures were not taken in the direct context of the event are scoring clearly visible as illustration or image respectively archives. The photomontages are visibly marked as such."
